Make,Model,Manufacturer Name,Weight Class,Make Type,Size Category,Range,Passengers,Crew,Weight Ramp,Weight Takeoff,Weight Zero,Weight Basic Operating,Weight Landing,Speed Cruise,Landing Length,Range Tanks Full
HONDAJET,ELITE,"Honda Aircraft Company, Inc.",Light,Business Jet,Very Light Jet,1191,5,1,10780,10700,8900,7348,9960,413,2804,1433
HONDAJET,ELITE II,"Honda Aircraft Company, Inc.",Light,Business Jet,Very Light Jet,1380,7,1,11180,11100,9300,7422,10360,360,2912,1523
HONDAJET,ELITE S,"Honda Aircraft Company, Inc.",Light,Business Jet,Very Light Jet,1287,7,1,10980,10900,9100,7385,10160,360,2912,1408
HONDAJET,HA-420,"Honda Aircraft Company, Inc.",Light,Business Jet,Very Light Jet,1223,5,1,10680,10600,8800,7450,9860,422,2795,1282
JET COMMANDER,1121,Aero Commander & Israel Aircraft,Light,Business Jet,Mid-Size Jet,950,7,2,17100,16800,12000,8300,16000,426,3900,0
JET COMMANDER,1121A,Aero Commander & Israel Aircraft,Light,Business Jet,Mid-Size Jet,950,7,2,17800,17500,12000,8300,16000,426,3900,0
JET COMMANDER,1121B,Aero Commander & Israel Aircraft,Light,Business Jet,Mid-Size Jet,1100,7,2,17800,17500,12000,8300,16000,428,3900,0
JETSTAR,6,Lockheed,Heavy,Business Jet,Mid-Size Jet,2645,10,2,41500,40921,23500,21157,30000,438,3440,0
JETSTAR,731,Lockheed,Heavy,Business Jet,Mid-Size Jet,2600,10,2,44750,44500,27500,24178,36000,475,3020,0
JETSTAR,8,Lockheed,Heavy,Business Jet,Mid-Size Jet,2342,10,2,42500,42000,25000,22074,35000,435,3440,0
JETSTAR,II,Lockheed,Heavy,Business Jet,Mid-Size Jet,2770,10,2,44750,44500,27500,24593,36000,438,3020,0
LEARJET,23,Gates Learjet,Light,Business Jet,Light Jet,1590,6,2,13000,12500,9000,6625,11800,423,2800,0
LEARJET,24,Gates Learjet,Light,Business Jet,Light Jet,1012,6,2,13300,13000,9000,7090,11800,417,3350,0
LEARJET,24A,Gates Learjet,Light,Business Jet,Light Jet,880,6,2,12749,12499,9000,7090,11880,417,3350,0
LEARJET,24B,Gates Learjet,Light,Business Jet,Light Jet,1001,6,2,13800,13500,10000,7327,11880,437,3307,0
LEARJET,24D,Gates Learjet,Light,Business Jet,Light Jet,1001,6,2,13800,13500,10000,7203,11880,473,2800,0
LEARJET,24E,Gates Learjet,Light,Business Jet,Light Jet,850,6,2,13200,12900,10000,7425,11880,439,2789,0
LEARJET,24F,Gates Learjet,Light,Business Jet,Light Jet,1001,6,2,13800,13500,10000,7530,11880,439,2873,0
LEARJET,25,Gates Learjet,Light,Business Jet,Light Jet,1385,8,2,15500,15000,10000,7406,13300,442,2703,0
LEARJET,25B,Gates Learjet,Light,Business Jet,Light Jet,1385,8,2,15500,15000,10000,7606,13300,442,2703,0
LEARJET,25C,Gates Learjet,Light,Business Jet,Light Jet,1525,6,2,15500,15000,10000,7633,13300,441,3090,0
LEARJET,25D,Gates Learjet,Light,Business Jet,Light Jet,1431,8,2,15500,15000,10000,8350,13300,456,2817,0
LEARJET,25G,Gates Learjet,Light,Business Jet,Light Jet,1800,8,2,16500,16000,10000,8650,13300,464,2728,0
LEARJET,28,Gates Learjet,Light,Business Jet,Light Jet,1450,8,2,15500,15000,10300,8968,14300,441,2734,0
LEARJET,29,Gates Learjet,Light,Business Jet,Light Jet,1546,6,2,15500,15000,10300,8924,13300,441,2734,0
LEARJET,31,Gates Learjet,Light,Business Jet,Light Jet,1337,8,2,17200,17000,13500,11200,16000,441,2507,0
LEARJET,31A,Gates Learjet,Light,Business Jet,Light Jet,1337,8,2,17200,17000,13500,11203,16000,441,2767,0
LEARJET,35,Gates Learjet,Light,Business Jet,Light Jet,1924,8,2,18500,18300,13500,10238,15300,436,3105,0
LEARJET,35A,Learjet Inc.,Light,Business Jet,Light Jet,1990,8,2,18500,18300,13500,10519,15300,436,3075,0
LEARJET,36,Gates Learjet,Light,Business Jet,Light Jet,2289,6,2,18500,18300,13500,10519,15300,436,3105,0
LEARJET,36A,Learjet Inc.,Light,Business Jet,Light Jet,2708,6,2,18500,18300,13500,9970,15300,441,3075,0
LEARJET,40,Learjet Inc.,Medium,Business Jet,Light Jet,1707,6,2,20600,20350,16000,13428,19200,436,2335,0
LEARJET,40XR,Learjet Inc.,Medium,Business Jet,Light Jet,1960,7,2,21250,21000,16000,13861,19200,436,2355,0
LEARJET,45,Learjet Inc.,Medium,Business Jet,Light Jet,1968,9,2,20750,20500,16000,13695,19200,436,2349,0
LEARJET,45XR,Learjet Inc.,Medium,Business Jet,Light Jet,2049,9,2,21750,21500,16000,14113,19200,436,2660,0
LEARJET,55,Learjet Inc.,Light,Business Jet,Mid-Size Jet,2296,8,2,19750,19500,15000,12530,17000,419,3300,0
LEARJET,55B,Learjet Inc.,Medium,Business Jet,Mid-Size Jet,2250,8,2,21750,21500,15000,12855,18000,385,3300,0
LEARJET,55C,Learjet Inc.,Medium,Business Jet,Mid-Size Jet,2222,8,2,21250,21000,15000,13258,18000,419,3250,0
LEARJET,60,Learjet Inc.,Medium,Business Jet,Mid-Size Jet,2418,8,2,23750,23500,17000,14700,19500,436,3030,0
LEARJET,60XR,Learjet Inc.,Medium,Business Jet,Mid-Size Jet,2398,6,2,23750,23500,17000,14902,19500,436,3049,0
LEARJET,70,Learjet Inc.,Medium,Business Jet,Light Jet,2045,6,2,21750,21500,16000,13900,19200,436,2326,1881
LEARJET,75,Learjet Inc.,Medium,Business Jet,Super Light Jet,2026,8,2,21750,21500,16500,14050,19200,436,2338,1884
LEARJET,75 LIBERTY,Learjet Inc.,Medium,Business Jet,Super Light Jet,2080,6,2,21750,21500,16500,13598,19200,436,2296,1885
NEXTANT,400XT,"Nextant Aerospace, LLC",Light,Business Jet,Light Jet,2096,7,2,16500,16300,13000,10700,15700,437,2960,1895
NEXTANT,400XTi,"Nextant Aerospace, LLC",Light,Business Jet,Light Jet,2003,9,2,16500,16300,13000,10950,15700,406,2960,1895
PILATUS,PC-24,"Pilatus Aircraft, Ltd.",Light,Business Jet,Light Jet,2000,10,1,18400,18300,14220,11720,16900,358,2120,2013
PREMIER,I,Raytheon Aircraft Company,Light,Business Jet,Very Light Jet,1340,6,1,12590,12500,10000,8173,11600,426,2975,0
PREMIER,IA,Hawker Beechcraft Corporation,Light,Business Jet,Very Light Jet,1340,7,1,12590,12500,10000,8550,11600,426,3170,0
SABRELINER,40,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,18650,18650,12800,10900,17500,431,2250,0
SABRELINER,40A,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,19035,18650,12800,11100,17500,431,2350,0
SABRELINER,40EL,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,18650,18650,12800,10900,17500,431,2250,0
SABRELINER,40EX,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,18650,18650,12800,10900,17500,431,2250,0
SABRELINER,40R,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,18650,18650,12800,10900,17500,431,2250,0
SABRELINER,40SE,Rockwell International,Light,Business Jet,Light Jet,1640,6,2,18650,18650,12800,10900,17500,431,2250,0
SABRELINER,50,Rockwell International,Light,Business Jet,Light Jet,1950,10,2,18650,18365,12250,14542,17500,435,1850,0
SABRELINER,60,Rockwell International,Medium,Business Jet,Light Jet,1933,8,2,20372,20172,13800,11750,17500,430,2365,1933
SABRELINER,60A,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60AELXM,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60EL,Rockwell International,Medium,Business Jet,Light Jet,1640,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60ELXM,Rockwell International,Medium,Business Jet,Light Jet,1640,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60EX,Rockwell International,Medium,Business Jet,Light Jet,1640,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60SC,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60SCEL,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60SCELXM,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20372,20172,13800,11750,17500,430,2365,0
SABRELINER,60SCEX,Rockwell International,Medium,Business Jet,Light Jet,2110,8,2,20375,20172,13800,11750,17500,430,2365,0
SABRELINER,65,Rockwell International,Medium,Business Jet,Light Jet,2480,8,2,24000,24000,16250,14100,21755,441,3345,0
SABRELINER,75,Rockwell International,Medium,Business Jet,Light Jet,2520,8,2,21200,21000,14300,12600,21000,430,2525,0
SABRELINER,80,Rockwell International,Medium,Business Jet,Light Jet,1483,8,2,23500,23300,15620,13600,22000,436,2625,0
SABRELINER,80A,Rockwell International,Medium,Business Jet,Light Jet,2310,8,2,25500,23300,15620,13750,22000,435,2625,0
SABRELINER,80SC,Rockwell International,Medium,Business Jet,Mid-Size Jet,2310,8,2,25500,23300,15620,13750,22000,435,2625,0
SUKHOI,SBJ,Sukhoi Civil Aircraft (CJSC),Heavy,Business Jet,Airline Business Jet,4250,10,3,109019,109019,88185,0,90390,537,0,0
SYBERJET,SJ30-2,Syberjet Aircraft,Light,Business Jet,Light Jet,1915,6,1,14050,13950,10500,8917,12725,436,2657,2598
WESTWIND,1,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2385,7,2,23650,23500,16500,13000,19000,424,2450,0
WESTWIND,1123,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,1450,7,2,21000,20700,14500,11900,19000,426,2900,0
WESTWIND,1124,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2385,7,2,23650,23500,16500,13000,19000,424,2450,0
WESTWIND,2,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2750,7,2,23650,23500,16500,13250,19000,425,2150,0
