Make,Model,Manufacturer Name,Weight Class,Make Type,Size Category,Range,Passengers,Crew,Weight Ramp,Weight Takeoff,Weight Zero,Weight Basic Operating,Weight Landing,Speed Cruise,Landing Length,Range Tanks Full
CHALLENGER,605,Bombardier Inc.,Heavy,Business Jet,Large Jet,4123,10,3,48300,48200,32000,27150,38000,459,3833,0
CHALLENGER,650,Bombardier Inc.,Heavy,Business Jet,Large Jet,4044,13,2,48300,48200,32000,27150,38000,424,2368,3979
CHALLENGER,800,Bombardier Inc.,Heavy,Business Jet,Large Jet,3120,15,3,53250,53000,39500,33900,47000,442,2910,0
CHALLENGER,850,Bombardier Inc.,Heavy,Business Jet,Large Jet,3096,15,2,53250,53000,44000,34618,47000,442,2910,0
CHALLENGER,870,Bombardier Inc.,Heavy,Business Jet,Large Jet,2503,19,3,75250,75000,62300,44907,67000,447,2712,0
CHALLENGER,890,Bombardier Inc.,Heavy,,Large Jet,2364,19,3,85000,84500,70600,48262,75000,448,2582,0
CIRRUS,VISION SF50,Cirrus Design Corporation,Very Light Jet,Business Jet,Personal Jet,1125,4,1,6040,6000,4900,3772,5550,256,1628,1167
CIRRUS,VISION SF50 G2,Cirrus Design Corporation,Very Light Jet,Business Jet,Personal Jet,1273,4,1,6040,6000,4900,3860,5550,259,1628,993
CIRRUS,VISION SF50 G2+,Cirrus Design Corporation,Very Light Jet,Business Jet,Personal Jet,1098,4,1,6040,6000,4900,3860,5550,259,1628,1171
CITATION,500,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1130,6,2,11650,11500,8400,5856,11000,348,2310,0
CITATION,525,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1250,6,2,10500,10400,8400,6750,9700,323,2486,0
CITATION,BRAVO,Cessna Aircraft Company,Light,Business Jet,Light Jet,1740,7,2,15000,14800,11300,9380,13500,405,2517,0
CITATION,CJ1,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1161,7,1,10700,10600,8400,6860,9800,381,2488,0
CITATION,CJ1+,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1245,7,1,10800,10700,8400,7219,9900,389,2361,0
CITATION,CJ2,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1512,8,1,12500,12375,9300,7810,11500,413,2619,0
CITATION,CJ2+,Cessna Aircraft Company,Light,Business Jet,Very Light Jet,1613,8,1,12625,12500,9700,7950,11525,413,2980,0
CITATION,CJ3,Cessna Aircraft Company,Light,Business Jet,Light Jet,1875,7,1,14070,13870,10510,8790,12750,404,2770,0
CITATION,CJ3+,Cessna Aircraft Company,Light,Business Jet,Light Jet,1918,9,1,14070,13870,10675,8540,12750,352,2422,1814
CITATION,CJ4,Cessna Aircraft Company,Light,Business Jet,Light Jet,1949,7,2,17230,17110,12500,10254,15660,454,2281,1913
CITATION,CJ4 GEN2,"Textron Aviation, Inc.",Light,Business Jet,Light Jet,2109,10,1,17230,17110,12500,10280,15660,377,2281,1913
